Name,City,Country,IATA,Latitude,Longitude
London Gatwick Airport,London,United Kingdom,LGW,51.1481018066406,-0.190277993679047
London Heathrow Airport,London,United Kingdom,LHR,51.4706,-0.461941
Bora Bora Airport,Bora Bora,French Polynesia,BOB,-16.4444007873535,-151.751007080078
Moorea Airport,Moorea,French Polynesia,MOZ,-17.4899997711182,-149.761993408203
Auckland International Airport,Auckland,New Zealand,AKL,-37.0080986023,174.792007446
Queenstown International Airport,Queenstown International,New Zealand,ZQN,-45.0210990906,168.738998413
Chek Lap Kok International Airport,Hong Kong,Hong Kong,HKG,22.3089008331,113.915000916
Singapore Changi Airport,Singapore,Singapore,SIN,1.35019,103.994003
San Francisco International Airport,San Francisco,United States,SFO,37.6189994812012,-122.375
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971
Norman Y. Mineta San Jose International Airport,San Jose,United States,SJC,37.3625984191895,-121.929000854492
John F Kennedy International Airport,New York,United States,JFK,40.63980103,-73.77890015
Faa'a International Airport,Papeete,French Polynesia,PPT,-17.5536994934,-149.606994629
